Наименование;Цвет;Цена
Emperador Extra t-30;коричневый;13 050,00
Emperador Light Special t-20;бежевый;8 550,00
Fior di Pesco t-20;серый;18 900,00
Galala  t-20;бежевый;9 900,00
Gascony Blue t-20 (материал заказчика);;
Giallo Reale t-20;желтый;9 900,00
Giallo Reale t-30;желтый;13 950,00
Giallo Sienna t-20;желтый;18 450,00
Giallo Sunny Light (al verso) t-20;желтый;8 460,00
Giallo Sunny Light (al verso) t-30;желтый;11 790,00
Giallo Sunny Light t-20;желтый;8 460,00
Giallo Sunny Light t-30;желтый;9 810,00
Golden Coast t-20;коричневый;10 350,00
Golden Grey t-20;серый;10 080,00
Golden Spider t-20;желтый;11 250,00
Golden Spider t-30;желтый;14 670,00
Green Beige t-20;зеленый;11 700,00
Green Tinos t-30;зеленый;8 100,00
Grey Pink t-20;серый;9 450,00
Grigio Carnico t-20;серый;16 110,00
Grigio Saint Nicola t-20;серый;10 800,00
Grigio Taormina t-20;серый;14 400,00
Irish Connemarble Green t-20;зеленый;33 750,00
Ligurio Light t-20;бежевый;10 710,00
Ligurio Light t-30;бежевый;13 320,00
Luxury White t-20;белый;17 100,00
Marron Fossile t-20;коричневый;22 050,00
Mocco Creme t-20 (лощеный);бежевый;9 900,00
Monaco Brown t-20;коричневый;11 700,00
Monaco Brown t-30;коричневый;12 600,00
Namibia Sky t-20;белый;10 800,00
Nero Fossile t-20;черный;17 550,00
Nero Marquina t-20;черный;11 250,00
Nero Portoro t-20;черный;58 500,00
New Marfil t-20;бежевый;10 800,00
New Marfil t-30;бежевый;13 050,00
Opera Fantastica t-20;мультиколор;22 230,00
Oro Apuano t-20;черный;13 500,00
Oro Apuano t-30;черный;25 200,00
Palissandro Australia t-20;серый;13 950,00
Palissandro Bluette t-20;серый;9 900,00
Palissandro Classico t-20;бежевый;11 700,00
Palissandro Dark t-20;серый;19 170,00
Palissandro Oniciato t-20;бежевый;11 700,00
Palissandro Oniciato t-30 (диагональ);белый;20 700,00
Palissandro Reale t-20;бежевый;17 100,00
Palladio Beige t-20;бежевый;16 200,00
Pietra Grey t-18;серый;14 400,00
Pietra Grey t-20;серый;14 400,00
Porto Black t-20;черный;9 000,00
Portoro Gold t-20;черный;21 600,00
Rainbow Extra Antico t-20;коричневый;18 000,00
Rainbow Extra Spazzolato t-20 (песчаник);коричневый;16 650,00
Rainbow Extra t-20 (песчаник);коричневый;15 750,00
Rainbow t-20 (песчанник);коричневый;12 600,00
Rosa Aurora t-20;розовый;16 650,00
Rosa Blue t-20;серый;19 350,00
Rosa Portogallo (al contro) t-20;розовый;9 900,00
Rosa Portogallo Creme t-20;розовый;9 900,00
Rosa Portogallo Creme t-30;розовый;17 100,00
Rosa Portogallo Extra t-20;розовый;15 300,00
Rosa Portogallo t-20;розовый;9 900,00
Rosa Valencia t-20;розовый;11 250,00
Rose Volou t-30;розовый;9 900,00
Rosso Alicante t-20;красный;12 420,00
Rosso Alicante t-30;красный;15 390,00
Rosso Erica t-20;красный;19 350,00
Rosso Francia t-20;красный;13 590,00
Rosso Lait t-20;розовый;6 750,00
Rosso Levanto t-20;красный;13 950,00
Rosso Orobico t-20;красный;17 280,00
Rosso Verona t-20;красный;9 180,00
Rosso Verona t-30;красный;10 080,00
Rosso Versailles t-20;мультиколор;31 500,00
Royal Red  t-30;красный;9 180,00
Rubidium t-20;розовый;10 170,00
Sahara Noir t-20;черный;19 170,00
Serpeggiante t-20;бежевый;10 800,00
Siberian Forest t-20;желтый;18 450,00
Silver Galaxy t-20;серый;10 980,00
Silver Grey t-20;серый;10 800,00
Sivec Extra t-20;белый;42 480,00
Skyros Argento t-30;серый;11 520,00
Skyros Red t-20;мультиколор;10 800,00
Skyros Silver t-20;серый;7 470,00
Skyros t-20;желтый;10 080,00
Skyros t-30;желтый;9 900,00
Skyros Yellow Whitish t-20;бежевый;14 580,00
Special White t-20;белый;17 100,00
Statuarietto t-20;белый;15 300,00
Statuario t-20;белый;32 310,00
Statuario t-20 (проект Москва);;58 500,00
Summer Fantasy Dark t-20;серый;19 350,00
Summer Fantasy Extra t-20;желтый;11 250,00
Summer Fantasy Light t-20;серый;17 100,00
Summer Fantasy t-30;серый;18 000,00
Tanji Grey t-30;серый;15 750,00
Teak Wood t-20;желтый;16 650,00
Teak Wood t-30;окаменевшее дерево;20 700,00
Thassos t-20;белый;18 000,00
Theologos t-20;бежевый;6 750,00
Tiger Shark t-20;розовый;13 050,00
Uru Brown t-20;коричневый;11 250,00
Verde Antigua t-20;зеленый;14 400,00
Verde Guatemala t-20;зеленый;7 920,00
Verde Venezia T-20;зеленый;18 270,00
Verde Venezia t-30;зеленый;21 960,00
White Citrus t-20;белый;12 960,00
White Rhino t-20;белый;21 600,00
Yellow Design t-17,5;желтый;9 000,00
